family,genus,species,region,location,date,tank_id,fish_per_tank,mean_weight_kg,sampling_interval_h,mean_T,mean_S,mean_ph,exc_rate_umol_h,method
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru2,11,0.0011,99.82,23,35.1,8.09,0.065384,double
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru3,7,0.0097,49.96,23,35.1,8.09,0.349006,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB1,2,0.0176,71.43,23,35.1,8.09,0.301136,double
Sparidae,Rhabdosargus,Rhabdosargus sarba,Australia,Moreton Bay,May-14,TW1,3,0.0897,75.3,23,35.1,8.09,2.44881,double
Sparidae,Rhabdosargus,Rhabdosargus sarba,Australia,Moreton Bay,May-14,TW2,2,0.085,66.14,23,35.1,8.09,3.1314000000000006,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB2,1,0.202,93.09,23,35.1,8.09,2.7876000000000003,double
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru4,10,0.005,73.86,23,35.1,8.09,0.3281,double
Sillaginidae,Sillago,Sillago maculata,Australia,Moreton Bay,May-14,Whit1,4,0.0103,18.3,23,35.1,8.09,0.37492,double
Sygnathidae,Hippocampus,Hippocampus whitei,Australia,Moreton Bay,May-14,SH1,1,0.0025,46.87,23,35.1,8.09,0.179225,double
Diodontidae,Tragulichthys,Tragulichthys jaculiferus,Australia,Moreton Bay,May-14,PF1,1,0.91,71.57,23,35.1,8.09,2.3296,double
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,SP5,1,0.11,75.7,23,35.1,8.09,1.5268000000000002,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB3,1,0.0814,74.65,23,35.1,8.09,1.04192,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp11,1,0.0171,73.53,23,35.1,8.09,0.14671800000000002,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB4,2,0.0805,94.96,23,35.1,8.09,1.190595,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW1,2,0.042,44.98,25,36.5,8.18,1.4784000000000002,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW2,1,0.052,26,25,36.5,8.18,3.19228,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW3,2,0.037,25.75,25,36.5,8.18,1.98061,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW4,1,0.06,36,25,36.5,8.18,2.472,double
Labridae,Thalassoma,Thalassoma lunare,Australia,Heron Island,Apr-14,MW1,1,0.0222,26.25,25,36.5,8.18,1.3333320000000002,double
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba1,1,0.691,22.68,27,36.6,NA,27.88185,double
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch1,3,0.247,22.92,27,36.6,NA,10.633349999999998,double
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch2,4,0.1193,22.67,27,36.6,NA,7.20572,double
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS1,10,0.0452,22.68,27,36.6,NA,2.0299319999999996,double
Haemulidae,Haemulon,Haemulon sp.,Bahamas,Cape Eleuthera,Nov-09,Grunt1,1,0.101,22.67,27,36.6,NA,5.62469,double
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba2,1,0.491,22.68,27,36.6,NA,5.07203,double
Gerreidae,Gerres,Gerres cinereus,Bahamas,Cape Eleuthera,Nov-09,YfM1,2,0.1725,22.68,27,36.6,NA,10.798499999999999,double
Serranidae,Epinephelus,Epinephelus guttatus,Bahamas,Cape Eleuthera,Nov-09,RH1,1,0.205,45.75,27,36.6,NA,4.9117999999999995,double
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch3,3,0.2897,45.77,27,36.6,NA,9.209563000000001,double
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS2,4,0.076,70.12,27,36.6,NA,4.3054,double
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch4,13,0.0099,72.9,27,36.6,NA,0.7305210000000001,double
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch5,3,0.1037,72.08,27,36.6,NA,5.344698,double
Serranidae,Cephalopholis,Cephalopholis cruentata,Bahamas,Cape Eleuthera,Nov-09,GG1,3,0.0947,45.67,27,36.6,NA,3.054075,double
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS3,6,0.0233,70.07,27,36.6,NA,0.7877730000000001,double
Scorpaenidae,Pterois,Pterois volitans,Bahamas,Cape Eleuthera,Nov-09,RLf1,3,0.0313,71.05,27,36.6,NA,1.428845,double
Scorpaenidae,Pterois,Pterois volitans,Bahamas,Cape Eleuthera,Nov-09,RLf2,1,0.057,72.27,27,36.6,NA,0.95475,double
Mugilidae,Mugil,Mugil sp.,Bahamas,Cape Eleuthera,Nov-09,Mullet1,9,0.003,24,27,36.6,NA,0.19770000000000001,double
Serranidae,Cephalopholis,Cephalopholis cruentata,Bahamas,Cape Eleuthera,Nov-09,GG2,4,0.1415,47.17,27,36.6,NA,3.5459899999999993,double
